영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Santos Dumont Regional Airport,산투스 뒤몬트 지역공항,SDU,SBRJ,중남미,Brazil,브라질,Rio De Janeiro
Sanya Phonix International Airport ,산야 피닉스 국제공항 ,SYX,ZGSY,아시아,Macao,마카오,Sanya
Sao Filipe Airport,상 필리페 공항,SFL,GVSF,아프리카,Cabo Verde,카보베르데,Sao Felipe
Sao Jorge Airport,상 호르헤 공항,SJZ,LPSJ,유럽,Portugal,포르투갈,Calheta
Sao Jose do Rio Preto Airport,사오호세도리오프레토 공항,SJP,SBSR,중남미,Brazil,브라질,Sao Jose Do Rio Preto
Sao Jose dos Campos Regional Airport,사오호세도스캄포스 지역공항,SJK,SBSJ,중남미,Brazil,브라질,Sao Jose Dos Campos
Sao Pedro Airport,산페드로 공항,VXE,GVSV,아프리카,Cabo Verde,카보베르데,Sao Vicente
Saransk Airport,사란스크 공항,SKX,UWPS,유럽,Russia,러시아,Saransk 
Sarasota-Bradenton International Airport,새러소타 브레이든턴 국제공항,SRQ,KSRQ,북미,United States,미국,Sarasota FL
Sardar Vallabhbhai Patel International Airport,사다르 발랍하이 파텔 국제공항 ,AMD,VAAH,아시아,India,인도,Ahmedabad
Saskatoon / John G. Diefenbaker International Airport,사스카툰 존 G. 디이픈베이커 국제공항,YXE,CYXE,북미,Canada,캐나다,Saskatoon SK
Satu Mare International Airport,사투마레 국제공항,SUJ,LRSM,유럽,Romania,루마니아,Satu Mare
Satwari Airport,사트와리 공항,IXJ,VIJU,아시아,India,인도,Jammu
Saul Airport,사울 공항,XAU,SOOS,중남미,French Guiana,프랑스령기아나,Saul
Saumur Saint-Florent Airport,소뮈르 생 플로랑 공항,XSU,LFOD,유럽,France,프랑스,Saumur / Saint-Florent
Savannah / Hilton Head Airport,서배너 힐튼 헤드 공항,SAV,KSAV,북미,United States,미국,Savannah GA
Savonlinna Airport,사본리나 공항,SVL,EFSA,유럽,Finland,핀란드,Savonlinna
Sayak Airport,Sayak 공항,IAO,RPNS,아시아,Philippines,필리핀,Siargao Island
Scandinavian Mountains Airport,스칸디나비아 산맥 공항,SCR,ESKS,유럽,Sweden,스웨덴,Malung-Salen 
Scatsta Airport,스캐스타 공항,SCS,EGPM,유럽,United Kingdom,영국,Scatsta
Schiphol Airport,스키폴 공항,AMS,EHAM,유럽,Netherlands,네덜란드,Amsterdam
Schoenefeld International Airport ,쉐너펠트 국제공항 ,SXF,EDDB,유럽,Germany,독일,Berlin
Sde Dov Airport ,시드 도브 공항 ,SDV,LLSD,중동,Israel,이스라엘,Tel-Aviv
Seattle Tacoma International Airport,시애틀 타코마 국제공항,SEA,KSEA,북미,United States,미국,Seattle WA
Seeb International Airport,시이브 국제공항,MCT,OOMS,중동,Oman,오만,Muscat
Sehwan Sharif Airport,스환 쉐리프 공항,SYW,OPSN,아시아,Pakistan,파키스탄,Sehwan Sharif
Selebi-Phikwe Airport,셀레비-피크베 지역공항,PKW,FBSP,아프리카,Botswana,보츠와나,Selebi Phikwe
Semnan Municipal Airport,셈난 시립 공항,SNX,OIIS,중동,Iran,이란,Semnan
Senador Petronio Portella Airport,세나됴 페트로니오 포르텔라 공항,THE,SBTE,중남미,Brazil,브라질,Teresina
Sendai Airport,센다이 공항,SDJ,RJSS,아시아,Japan,일본,Sendai
Senou Airport,세노우 공항,BKO,GABS,아프리카,Mali,말리,Bamako
Sepinggan International Airport,세펭간 국제공항,BPN,WALL,아시아,Indonesia,인도네시아,Balikpapan
Servel Airport,세르벨 공항,LAI,LFRO,유럽,France,프랑스,Lannion
Sevilla Airport,세빌리아 산 파블로 공항,SVQ,LEZL,유럽,Spain,스페인,Sevilla
Seychelles International Airport,세이셸 국제공항,SEZ,FSIA,아프리카,Seychelles,세이셸,Victoria
Shache Airport,샤시 공항,QSZ,ZWSC,아시아,Macao,마카오,Shache
Shahid Ashrafi Esfahani Airport,사히드 아쉬라피 에스파하니 공항,KSH,OICC,중동,Iran,이란,Kermanshah
Shahid Sadooghi Airport,사히드 사두히 공항,AZD,OIYY,중동,Iran,이란,Yazd
Shahrekord Airport,샤레크코드 공항,CQD,OIFS,중동,Iran,이란,Shahrekord
Shahroud Airport,Shahroud 공항,RUD,OIMJ,중동,Iran,이란,Shahrud
Shaikh Zayed International Airport,쉐이크 제에드 국제공항,RYK,OPRK,아시아,Pakistan,파키스탄,Rahim Yar Khan
Shannon International Airport,섀넌 국제공항,SNN,EINN,유럽,Ireland,아일랜드,Shannon
Shantou Airport,산터우 공항,SWA,ZGOW,아시아,Hong Kong,홍콩,Jieyang Chaoshan
Shaoyang Wugang Airport,Shaoyang Wugang Airport,WGN,ZGSY,아시아,Macao,마카오,Shaoyang
Sharjah International Airport,샤르자 /샤져 국제공항,SHJ,OMSJ,중동,United Arab Emirates,UAE,Sharjah
Sharorah Domestic Airport ,샤오러 국내공항,SHW,OESH,중동,Saudi Arabia,사우디아라비아,Sharurah
Shennongjia Hongping Airport,Shennongjia Hongping Airport,HPG,ZHSN,아시아,Macao,마카오,Shennongjia
Shenyang Taoxian International Airport,선양 타오시안 국제공항,SHE,ZYTX,아시아,Macao,마카오,Shenyang City
Shenzhen Baoan International Airport,쉔젠 바오안 국제공항,SZX,ZGSZ,아시아,Macao,마카오,Shenzhen
Sheremetyevo International Airport,세레메티에포 국제공항,SVO,UUEE,유럽,Russia,러시아,Moscow
Shigatse Peace Airport,시가 트 평화 공항,RKZ,ZURK,아시아,Macao,마카오,Xigaze
Shihezi Huayuan Airport,시하쯔 화원 공항,SHF,ZWHZ,아시아,Macao,마카오,Shihezi
Shillong Airport ,실롱 공항,SHL,VEBI,아시아,India,인도,Shillong
Shimla Airport,심라 공항,SLV,VISM,아시아,India,인도,Jubbarhatti
Shimojishima Airport,시모지시마 공항,SHI,RORS,아시아,Japan,일본,Miyakojima
Shirak International Airport,쉬락 국제공항,LWN,UDSG,유럽,Armenia,아르메니아,Gyumri
Shiraz International Airport ,쉬라즈 국제공항 ,SYZ,OISS,중동,Iran,이란,Shiraz
Shirdi Airport,셔디 국제공항,SAG,VASD,아시아,India,인도,KAKADI
Shively Airport,샤이블리 공항,SAA,KSAA,아시아,Philippines,필리핀,Guiuan
Shiyan Wudangshan Airport,시얀 우당산 공항,WDS,ZHSY,아시아,Macao,마카오,Shiyan
Shizuoka Airport,시즈오카 공항,FSZ,RJNS,아시아,Japan,일본,Shizuoka
Sholapur Airport,솔라푸르 공항,SSE,VASL,아시아,India,인도,solapur
Shonai Airport,쇼나이 공항,SYO,RJSY,아시아,Japan,일본,Shonai
Shoreham Airport ,쇼햄 공항,ESH,EGKA,유럽,United Kingdom,영국,Brighton
Shpakovskoye Airport,쉬파코프스키에 공항,STW,URMT,유럽,Russia,러시아,Stavropol
Shreveport Regional Airport,슈리브포트 공항,SHV,KSHV,북미,United States,미국,Shreveport LA
Sialkot International Airport,시알 코트 국제 공항,SKT,OPST,아시아,Pakistan,파키스탄,Sialkot
Siauliai International Airport,시아울리에 국제공항,SQQ,EYSA,유럽,Lithuania,리투아니아,Siauliai
Sibiu International Airport,시비우 국제공항,SBZ,LRSB,유럽,Romania,루마니아,Sibiu
Sibu Airport,시부 공항,SBW,WBGS,아시아,Malaysia,말레이시아,Sibu
Sibulan Airport,시불란 공항,DGT,RPVD,아시아,Philippines,필리핀,Dumaguete
Sierra Maestra Airport,시에라 마에스트라 공항,MZO,MUMZ,중남미,Cuba,쿠바,Manzanillo 
Sihanoukville International Airport,시하눅빌 국제 공항,KOS,VDSV,아시아,Cambodia,캄보디아,Sihanouk Ville
Siirt Airport,시이르트 공항,SXZ,LTCL,유럽,Turkey,터키,Siirt
Silangit Airport,Silangit 공항,DTB,WIMN,아시아,Indonesia,인도네시아,Siborong-Borong
Silvio Pettirossi Airport,실비오 페트로씨 공항,ASU,SGAS,중남미,Paraguay,파라과이,Asuncion
Simao Airport,쓰마오 공항,SYM,ZPSM,아시아,Macao,마카오,Simao
Simferopol Airport,심페로폴 공항,SIP,UKFF,유럽,Russia,러시아,Simferopol
Simon Bolivar Airport,시몬 볼리바 공항,SMR,SKSM,중남미,Colombia,콜롬비아,Santa Marta
Simon Bolivar International Airport,시몬 볼리바 국제공항,GYE,SEGU,중남미,Ecuador,에콰도르,Guayaquil
Simon Bolivar International Airport ,시몬 볼리바 국제공항 ,CCS,SVMI,중남미,Venezuela,베네수엘라,Caracas
Simpang Tiga Airport ,심팡 티가 공항 ,PKU,WIBB,아시아,Indonesia,인도네시아,Pekanbaru
Singerbhil Airport,싱거힐 공항,IXA,VEAT,아시아,India,인도,Agartala
Sinop Airport,시놉 공항,NOP,LTCM,유럽,Turkey,터키,Sinop
Sion Airport,시온 공항,SIR,LSGS,유럽,Switzerland,스위스,Sion
Sioux Falls Regional Airport ,수폴스 지역공항 ,FSD,KFSD,북미,United States,미국,Sioux Falls SD
Sioux Gateway Airport,슈 게이트웨이 공항,SUX,KSUX,북미,United States,미국,Sioux City IA
Sir Bani Yas Airport,서바니야스 공항,XSB,OMBY,중동,United Arab Emirates,UAE,ABU DHABI
Sir Seewoosagur Ramgoolam International Airport,서 씨우사구 람굴람 국제공항,MRU,FIMP,아프리카,Mauritius,모리셔스,Plaine Magnien
Sir Seretse Khama International Airport,서 서츠 카마 국제공항,GBE,FBSK,아프리카,Botswana,보츠와나,Gaborone
Sirjan Airport,시르잔 공항,SYJ,OIKY,중동,Iran,이란,Sirjan
Sırnak Airport,Sırnak 공항,NKT,LTCV,유럽,Turkey,터키,Sirnak
Sitia Public Airport,시티아 퍼블릭 공항,JSH,LGST,유럽,Greece,그리스,Sitia
Sivas Airport,시바스 공항,VAS,LTAR,유럽,Turkey,터키,Sivas
Skagen Airport,스카젠 공항,SKN,ENSK,유럽,Norway,노르웨이,Stokmarknes
Skardu Airport,스카르두 공항,KDU,OPSD,아시아,Pakistan,파키스탄,Skardu
Skavsta Airport,스카프스타 공항,NYO,ESKN,유럽,Sweden,스웨덴,Stockholm
Skelleftea Airport,셸레프테오 공항,SFT,ESNS,유럽,Sweden,스웨덴,Skelleftea
Skien Airport ,시엔 공항,SKE,ENSN,유럽,Norway,노르웨이,Skien
Skyros Island National Airport,스키로스 아일랜드 내셔널 공항,SKU,LGSY,유럽,Greece,그리스,Skiros
Sliac Airport,슬라이치 공항,SLD,LZSL,유럽,Slovakia,슬로바키아,Sliac
Snilow Airport,스닐로우 공항,LWO,UKLL,유럽,Ukraine,우크라이나,Lviv
Soekarno-Hatta International Airport,소엑카르노 하타 국제공항,CGK,WIII,아시아,Indonesia,인도네시아,Jakarta
Soellingen Airport,쇨링젠 공항,FKB,EDSB,유럽,Germany,독일,Baden Baden
Sofia Airport ,소피아 공항,SOF,LBSF,유럽,Bulgaria,불가리아,Sofia
Sohag International Airport,Sohag 국제공항,HMB,HEMK,아프리카,Egypt,이집트,Sohag
Sohar Airport,소하르 공항,OHS,OOSH,중동,Oman,오만,Sohar 
Sokol Airport,수코이 공항,GDX,UHMM,유럽,Russia,러시아,Magadan
Sola Airport,솔라 공항,SVG,ENZV,유럽,Norway,노르웨이,Stavanger
Son Bonet Aerodrome,손 보넷 비행장,SBO,LESB,유럽,Spain,스페인,Son Bonet
Sonderborg Airport,손더보리 공항,SGD,EKSB,유럽,Denmark,덴마크,Sonderborg
Sonoma County Airport,새노마 카운티 공항,STS,KSTS,북미,United States,미국,Santa Rosa CA
Sorkjosen Airport,쇠르쿄젠 공항,SOJ,ENSR,유럽,Norway,노르웨이,Sorkjosen
Soummam Airport,수우맘 공항,BJA,DAAE,아프리카,Algeria,알제리,Bejaia
South Bend Regional Airport,사우스벤드 공항,SBN,KSBN,북미,United States,미국,South Bend IN
Southampton International Airport ,사우샘프턴 국제공항,SOU,EGHI,유럽,United Kingdom,영국,Southampton
Southend Airport,사우스엔드 시공항,SEN,EGMC,유럽,United Kingdom,영국,Southend
Southwest Florida Regional Airport,사우스웨스트 플로리다 지역공항,RSW,KRSW,북미,United States,미국,Fort Myers FL
Southwest Georgia Regional Airport,사우스웨스트 조지아 공항,ABY,KABY,북미,United States,미국,Albany GA
Split Airport,스플리트 공항,SPU,LDSP,유럽,Croatia,크로아티아,Split
Spokane International Airport,스포캔 국제공항,GEG,KGEG,북미,United States,미국,Spokane WA
Spring Island airport,스프링 아일랜드 공항,YSQ,,아시아,Macao,마카오,Songyuan
Springfield-Branson National Airport,스프링필드 브랜슨 공항,SGF,KSGF,북미,United States,미국,Springfield MO
Springhill Airport,스프링힐 공항,OAG,YORG,대양주,Australia,오스트레일리아,Orange
Srinagar Air Force Base,스리나가르 공군기지,SXR,VISR,아시아,India,인도,Srinagar
St Gatien Airport,생 가티엥 공항,DOL,LFRG,유럽,France,프랑스,Deauville
St Marys Airport,세인트 메리즈 공항,ISC,EGHE,유럽,United Kingdom,영국,Isles of Scilly
St Nazaire Montoir Airport,생나제르 몽트와 공항,SNR,LFRZ,유럽,France,프랑스,Saint-Nazaire
St Petersburg Clearwater International Airport,세인트 피터스버그 국제공항,PIE,KPIE,북미,United States,미국,St Petersburg FL
St. Gallen-Altenrhein Airport,세인트 갈런 알테르하임 공항,ACH,LSZR,유럽,Switzerland,스위스,St. Gallen
St. Johns International Airport,산존스 공항,YYT,CYYT,북미,Canada,캐나다,St John NL
St. Paul the Apostle Airport ,생 폴 더 아포스틀 공항 ,OHD,LWOH,유럽,North Macedonia,북마케도니아,Ohrid
Standiford Field Airport,스탠디포드 필드 공항,SDF,KSDF,북미,United States,미국,Louisville KY
Stansted Airport,스텐스테드 공항,STN,EGSS,유럽,United Kingdom,영국,London
Stewart Airport,스튜어트 공항,SWF,KSWF,북미,United States,미국,New Windsor NY
Stockton Metro Airport,스탄턴 메트로 공항,SCK,KSCK,북미,United States,미국,Stockton CA
Stokka Airport,스토카 공항,SSJ,ENST,유럽,Norway,노르웨이,Sandnessjoen
Stord Airport ,스토르드 공항 ,RET,ENRS,유럽,Norway,노르웨이,Rost
"Stord Airport, Sorstokken",스토르드 공항,SRP,ENSO,유럽,Norway,노르웨이,Stord
Stornoway Airport,스토노와 공항,SYY,EGPO,유럽,United Kingdom,영국,Stornoway
Strezhevoy Airport,스트레체보이 공항,SWT,UNSS,유럽,Russia,러시아,Strezhevoy 
Strigino Airport,스트리기노 공항,GOJ,UWGG,유럽,Russia,러시아,Nizhniy Novgorod
Sturup Airport,스투럽 공항,MMX,ESMS,유럽,Sweden,스웨덴,Malmo
Subic Bay International Airport,수빅만 국제공항,SFS,RPLB,아시아,Philippines,필리핀,Olongapo City
Suboficial Aytes Germano Airport,소보피셜 에이트 제르마노 공항,AFA,SAMR,중남미,Argentina,아르헨티나,San Rafael
Sud Corse Airport,쉬 코세 공항,FSC,LFKF,유럽,France,프랑스,Figari
Sui Airport,수이 공항,SUL,OPSU,아시아,Pakistan,파키스탄,Sui 
Sukhothai Airport,수코타이 공항,THS,VTPO,아시아,Thailand,태국,Sukhothai 
Sukkur Airport,수쿠르 공항,SKZ,OPSK,아시아,Pakistan,파키스탄,Sukkur
Suleyman Demirel Airport,술래이만 더미럴 공항,ISE,LTFC,유럽,Turkey,터키,Suleyman Demirel-Isp
Sultan Abdul Aziz Shah Airport,술탄 압둘 아지즈 샤 공항,SZB,WMSA,아시아,Malaysia,말레이시아,Subang
Sultan Abdul Halim Airport,술탄 압둘 하림 공항,AOR,WMKA,아시아,Malaysia,말레이시아,Alor Setar
Sultan Azlan Shah Airport,술탄 아즐란 샤 공항,IPH,WMKI,아시아,Malaysia,말레이시아,Ipoh
Sultan Ismail International Airport,술탄 이스마일 국제공항,JHB,WMKJ,아시아,Malaysia,말레이시아,Johor Bahru
Sultan Mahmood Airport,술탄 마호메드 공항,TGG,WMKN,아시아,Malaysia,말레이시아,Kuala Terengganu
Sultan Mahmud Badaruddin II Airport,술탄 무하무드 바다루딘 II 공항,PLM,WIPP,아시아,Indonesia,인도네시아,Palembang
Sultan Taha Syarifudin Airport,술탄 나야 시아리푸딘 공항,DJB,WIPA,아시아,Indonesia,인도네시아,Jambi
Sumburgh Airport,섬버그 공항,LSI,EGPB,유럽,United Kingdom,영국,Sumburgh
Sundsvall-Timra Airport,순스발 티므루 ,SDL,ESNN,유럽,Sweden,스웨덴,Sundsvall
Supadio Airport,수팔디오 공항,PNK,WIOO,아시아,Indonesia,인도네시아,Pontianak
Sur Reina Sofia Airport,쉬흐 라이나 소피아 공항,TFS,GCTS,유럽,Spain,스페인,Tenerife
Surat Airport,수라트 공항,STV,VASU,아시아,India,인도,Surat
Surat Thani Airport,수랏타니 공항,URT,VTSB,아시아,Thailand,태국,Surat Thani
Surgut Airport,수르것 공항,SGC,USRR,유럽,Russia,러시아,Surgut
Surigao Airport,수리가오 공항,SUG,RPMS,아시아,Philippines,필리핀,Surigao
Suvarnabhumi International Airport ,수완나푸미 국제공항 ,BKK,VTBS,아시아,Thailand,태국,Bangkok
Svalbard Airport,스발바그드 공항,LYR,ENSB,유럽,Norway,노르웨이,Longyearbyen
Sveg Airport,스베그 공항,EVG,ESND,유럽,Sweden,스웨덴,Sveg
Syamsudin Noor Airport,시암수딘 누어 공항,BDJ,WAOO,아시아,Indonesia,인도네시아,Banjarmasin
Syktyvkar Airport,식티프카르 공항,SCW,UUYY,유럽,Russia,러시아,Syktyvkar
Szczytno-Szymany International Airport,시트노 사미니 국제공항,SZY,EPSY,유럽,Poland,폴란드,Szymany
T.F. Green Airport ,T.F 그린 스테이트 공항 ,PVD,KPVD,북미,United States,미국,Warwick RI
Taba International Airport,타바 국제공항,TCP,HETB,아프리카,Egypt,이집트,Taba
Tabarka 7 November Airport,타바카 7 노벰버 공항,TBJ,DTKA,아프리카,Tunisia,튀니지,Tabarka
Tabas Airport,터바스 공항,TCX,OIMT,중동,Iran,이란,Tabas
Tabatinga International Airport,타바팅가 국제공항,TBT,SBTT,중남미,Brazil,브라질,Tabatinga
Tablas Airport ,타블라스 공항,TBH,RPVU,아시아,Philippines,필리핀,Tugdan
Tabriz International Airport,타브리즈 국제공항,TBZ,OITT,중동,Iran,이란,Tabriz
Tabuk Regional Airport,타부크 공항,TUU,OETB,중동,Saudi Arabia,사우디아라비아,Tabuk
Tagbilaran City Airport,탁빌라란 공항,TAG,RPVT,아시아,Philippines,필리핀,Tagbilaran
Tahoua Airport,타후아 공항,THZ,DRRT,아프리카,Niger,니제르,Taouha 
Taichung Airport,타이중 공항,RMQ,RCMQ,아시아,Chinese Taipei,대만,Taichung
Taif Regional Airport,타이프 지역공항,TIF,OETF,중동,Saudi Arabia,사우디아라비아,Taif
Tainan Airport,타이난 공항,TNN,RCNN,아시아,Chinese Taipei,대만,Tainan
Taipei Songshan Airport,타이베이 송산 공항,TSA,RCSS,아시아,Chinese Taipei,대만,Taipei
Taitung Airport,대동 공항,TTT,RCFN,아시아,Chinese Taipei,대만,Taitung
Taiwan Taoyuan International Airport ,타이완 타오유완 국제공항 ,TPE,RCTP,아시아,Chinese Taipei,대만,Taipei
Taiyuan Wusu Airport,타이위안 우수 공항,TYN,ZBYN,아시아,Macao,마카오,Taiyuan
Tajima Airport,타지마 공항,TJH,RJBT,아시아,Japan,일본,Toyooka
Tak Airport,탁 공항,TKT,VTPT,아시아,Thailand,태국,Tak 
Takamatsu Airport,다카마쓰 공항,TAK,RJOT,아시아,Japan,일본,Takamatsu
Takapoto Airport,타카포토 공항,TKP,NTGT,대양주,French Plynesia,프랑스령폴리네시아,Takapoto
Takaroa Airport,타카로아 공항,TKX,NTKR,대양주,French Plynesia,프랑스령폴리네시아,Takaroa
Takume Airport,타쿠메 공항,TJN,NTKM,대양주,French Plynesia,프랑스령폴리네시아,Takume
Talagi Airport,탈라기 공항,ARH,ULAA,유럽,Russia,러시아,Arkhangelsk
Tallahassee Regional Airport,탤러해시 지역공항,TLH,KTLH,북미,United States,미국,Tallahassee FL
Tamanrasset Airport,타만라셋 공항,TMR,DAAT,아프리카,Algeria,알제리,Tamanrasset
Tambacounda Airport,탐부컨다 공항,TUD,GOTT,아프리카,Senegal,세네갈,Tambacounda
Tambov Donskoye Airport,탐보브 도스코예 공항,TBW,UUOT,유럽,Russia,러시아,Tambov
Tampa International Airport,탬파 국제공항,TPA,KTPA,북미,United States,미국,Tampa FL
Tampere-Pirkkala Airport,탐페레 피칼라 공항,TMP,EFTP,유럽,Finland,핀란드,Tampere
Tamuin National Airport,타무이누 국립공항,TSL,MMTN,중남미,Mexico,멕시코,Tamuin
Tamworth Airport,탬워스 공항,TMW,YSTW,대양주,Australia,오스트레일리아,Tamworth
Tan Son Nhat Airport,탄 손 낫 공항 ,SGN,VVTS,아시아,Viet Nam,베트남,Ho Chi Minh City
Tancredo Neves International Airport ,탄크레도 니브스 국제공항 ,CNF,SBCF,중남미,Brazil,브라질,Belo Horizonte
Tandag Airport,탄다그 공항,TDG,RPWW,아시아,Philippines,필리핀,Tandag
Tanegashima Airport,다네가시마 공항,TNE,RJFG,아시아,Japan,일본,Tanegashima
Tanga Airport,탕가 공항,TGT,HTTG,아프리카,Tanzania,탄자니아,Tanga
Tangshan Sannuhe Airport,당산 산누허 공항,TVS,ZBTS,아시아,Macao,마카오,Tangshan
Tapachula International Airport,타파출라 국제공항,TAP,MMTP,중남미,Mexico,멕시코,Tapachula
Tarama Airport,타라마 공항,TRA,RORT,아시아,Japan,일본,Tarama
Taranto-Grottaglie ,타란토 그로타글리에 마르셀로 아를로타 공항 ,TAR,LIBG,유럽,Italy,이탈리아,Taranto
Tarbes-Ossun-Lourdes Airport,타르부 우순 루르드 국제공항,LDE,LFBT,유럽,France,프랑스,Lourdes
Targu Mures International Airport,티구루 무레슈 국제공항,TGM,LRTM,유럽,Romania,루마니아,Targu Mures
Tashkent International Airport,타슈켄트 국제 공항,TAS,UTTT,아시아,Uzbekistan,우즈베키스탄,Tashkent
Tatakoto Airport,타타코토 공항,TKV,NTGO,대양주,French Plynesia,프랑스령폴리네시아,Tatakoto
Tawau International Airport,타와무 국제공항,TWU,WBKW,아시아,Malaysia,말레이시아,Tawau
Tbilisi International Airport ,트빌리시 국제공항 ,TBS,UGTB,아시아,Georgia,조지아,Tbilisi
Tebessa Airport,테싸 공항,TEE,DABS,아프리카,Algeria,알제리,Tbessa
Ted Stevens International Airport ,테드 스티븐스 국제공항 ,ANC,PANC,북미,United States,미국,Anchorage AK
Tefe Airport,테페 공항,TFF,SBTF,중남미,Brazil,브라질,Tefe
Tegel International Airport,테겔 국제공항,TXL,EDDT,유럽,Germany,독일,Berlin
Tehuacan Airport,테후카 공항,TCN,MMHC,중남미,Mexico,멕시코,Tehuacan
Temae Airport,테마에 공항,MOZ,NTTM,대양주,French Plynesia,프랑스령폴리네시아,Moorea
Tenerife North Airport ,노르테 로스 로데오스 공항,TFN,GCXO,유럽,Spain,스페인,Tenerife
Tengchong Tuofeng Airport,텅충 투공 공항,TCZ,ZUTC,아시아,Macao,마카오,Tenchong County
Tepual Airport,테후알 공항,PMC,SCTE,중남미,Chile,칠레,Puerto Montt
Termas de Rio Hondo Airport,라스 테르마스 공항,RHD,SANR,중남미,Argentina,아르헨티나,TERMAS DE RIO HONDO
Termez Airport,테르메스 공항,TMJ,UTST,아시아,Uzbekistan,우즈베키스탄,Termez
Teterboro Airport,테터보로 공항,TEB,KTEB,북미,United States,미국,Teterboro NJ
Texarkana Regional Airport,텍사카나 지역공항,TXK,KTXK,북미,United States,미국,Texarkana AR
Tezpur Airport ,테즈퍼 공항 ,TEZ,VETZ,아시아,India,인도,Tezpur
Thalerhof Airport,탤러호프 공항,GRZ,LOWG,유럽,Austria,오스트리아,Graz
The Blaye Airport,더 블라예 공항,ACI,EGJA,유럽,United Kingdom,영국,Alderney
The Eastern Iowa Airport ,이스턴 아이오와 공항 ,CID,KCID,북미,United States,미국,Cedar Rapids IA
Thessaloniki International Airport ,테살로니키 국제공항 ,SKG,LGTS,유럽,Greece,그리스,Thessaloniki
Thiruvananthapuram International Airport,트리반드럼 국제공항,TRV,VOTV,아시아,India,인도,Trivandrum
Thisted Airport,티스테드 공항,TED,EKTS,유럽,Denmark,덴마크,Thisted
Tho Xuan Airport,토사안 공항,THD,VVTX,아시아,Viet Nam,베트남,Sao Vang
Tianjin Binhai International Airport,톈진 빈하이 국제공항,TSN,ZBTJ,아시아,Macao,마카오,Tianjin
Tianshui Maijishan Airport,Tianshui Maijishan Airport,THQ,ZLTS,아시아,Macao,마카오,Tianshui
Tijuana International Airport ,티후아나 국제공항 ,TIJ,MMTJ,중남미,Mexico,멕시코,Tijuana
Tikehau Airport,타케하우 공항,TIH,NTGC,대양주,French Plynesia,프랑스령폴리네시아,Tikehau
Tiksi Airport,틱시 공항,IKS,UEST,유럽,Russia,러시아,Tiksi
Timbiqui Airport,Timbiqui 공항,TBD,SKMB,중남미,Colombia,콜롬비아,Timbiqui
Timimoun Airport,티미먼 공항,TMX,DAUT,아프리카,Algeria,알제리,Timimoun
Timisoara International Airport,티미쇼아라 트라이언 부이아 국제공항,TSR,LRTR,유럽,Romania,루마니아,Timisoara
Tindouf Airport,틴도프 공항,TIN,DAOF,아프리카,Algeria,알제리,Tindouf
Tingo Maria Airport,팅고 마리아 공항,TGI,SPGM,중남미,Peru,페루,Tingo Maria 
Tinian International Airport,티니안 국제공항,TIQ,PGWT,대양주,Northern Mariana Islands,북마리아나제도,Tinian
Tioman Airport,티오만 공항,TOD,WMBT,아시아,Malaysia,말레이시아,Tioman
Tirana Rinas Airport,티라나 리냐스 공항 ,TIA,LATI,유럽,Albania,알바니아,Tirana
Tiree Airport,타이리 공항,TRE,EGPU,유럽,United Kingdom,영국,Tiree
Tirstrup Airport,터스럽 공항,AAR,EKAH,유럽,Denmark,덴마크,Aarhus
Tiruchirapalli Civil Airport,티룬치라팔리 시빌 공항,TRZ,VOTR,아시아,India,인도,Tiruchirapalli
Tirupati Airport,티루파티 공항,TIR,VOTP,아시아,India,인도,Tirupati
Tito Menniti Airport,티토 멘니티 공항,REG,LICR,유럽,Italy,이탈리아,Reggio
Tivat Airport,티밧 공항,TIV,LYTV,유럽,Montenegro,몬테네그로,Tivat
Tjilik Riwut Airport,질릭 리우트 공항,PKY,WAGG,아시아,Indonesia,인도네시아,PALANGKARAYA
Tnte Gral Gerardo Perez Pinedo Airport,피네도 공항,AYX,SPAY,중남미,Peru,페루,Atalaya 
Toamasina Airport,토아마시나 공항,TMM,FMMT,아프리카,Madagascar,마다가스카르,Toamasina
Tocache Airport,토마쉬 공항,TCG,SPCH,아시아,Macao,마카오,Tacheng
Tocumen lnternational Airport ,토쿠먼 국제 공항 ,PTY,MPTO,중남미,Panama,파나마,Panama City
Tokat Airport,토캇 공항,TJK,LTAW,유럽,Turkey,터키,Tokat
Tokunoshima Airport,도쿠노시마 공항,TKN,RJKN,아시아,Japan,일본,Tokunoshima
Tokushima Airport,토쿠시마 공항,TKS,RJOS,아시아,Japan,일본,Tokushima
Tokyo International Airport ,동경국제공항 ,HND,RJTT,아시아,Japan,일본,Tokyo
Toledo Express Airport,톨레도 익스프레스 공항,TOL,KTOL,북미,United States,미국,Toledo OH
Toncontin Airport,통꼰틴 공항,TGU,MHTG,중남미,Honduras,온두라스,Tegucigalpa
Tonghua Liuhe Airport,퉁화 류헤 공항,TNH,ZYTN,아시아,Macao,마카오,Tonghua
Tongliao Airport,퉁랴오 공항,TGO,ZBTL,아시아,Macao,마카오,Tongliao
Tongren Daxing Airport ,퉁런 닥싱 공항,TEN,ZUTR,아시아,Macao,마카오,Tongren
Toowoomba Wellcamp Airport,터움바웰캄프 공항,WTB,YBWW,대양주,Australia,오스트레일리아,Toowoomba
Toronto Lester B. Pearson International Airport,피어슨 국제공항,YYZ,CYYZ,북미,Canada,캐나다,Toronto ON
