번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),임산부정원수,영유아정원수,임산부실면적,영유아실면적,모유수유실면적,급식시설면적,세탁실면적,목욕실면적,조리원화장실면적,사무실면적,간호사수,간호조무사수,영양사수,취사부수,미화원수,기타인원수,건물층수,지상층수,지하층수
848,산후조리업,01_01_04_P,3660000,PHMB120093660023042100001,2009.12.1,,1,영업/정상,13,영업중,,,,,042-486-1114,,302-121,대전광역시 서구 둔산1동 1046번지,대전광역시 서구 대덕대로 189 (둔산동),35230,모태산후조리원,2018.7.25 13:23,I,2018.8.31 23:59,,233792.9274,316667.909,23,23,394.6,38,24.4,102.1,7.6,3.3,11.1,13.4,3,7,,2,2,2,7,3,4
849,산후조리업,01_01_04_P,3660000,PHMB120123660023042100002,2012.11.15,,1,영업/정상,13,영업중,,2015.5.1,2015.5.17,,042-485-0001,,302-859,대전광역시 서구 탄방동 642번지,대전광역시 서구 문정로48번길 70 (탄방동),302-859,더블유산후조리원,2023.7.19 14:38,U,2023.7.21 2:40,,234407.5948,315934.7871,27,28,627.78,61.53,22.97,0,24.02,12.4,139.83,64.42,3,8,0,0,1,0,5,5,0
850,산후조리업,01_01_04_P,5310000,PHMB120065310029042100001,2006.12.5,,1,영업/정상,13,영업중,,,,,747-3585,,,"경상남도 진주시 평거동 7번지 16호 (5층, 7-1번지(4층))","경상남도 진주시 진양호로 255, 5층 (평거동)",52677,보람산후조리원,2020.1.7 11:49,U,2020.1.9 2:40,,296715.1664,186912.5217,18,18,250,40.02,7.87,45.2,11,,24.13,,2,7,,1,,,0,,
851,산후조리업,01_01_04_P,5310000,PHMB120115310029042100001,2011.8.12,,1,영업/정상,13,영업중,,,,,742-8822,,,경상남도 진주시 신안동 423번지,"경상남도 진주시 진양호로 317, 6~9층 (신안동)",52676,참조은산후조리원,2017.2.14 17:49,I,2018.8.31 23:59,,297031.6722,187461.8354,45,46,1205.66,120.69,31.49,50.05,6.3,162,173.39,7.93,1,5,0,1,0,0,,,0
852,산후조리업,01_01_04_P,5310000,PHMB120155310029042100001,2015.2.26,,1,영업/정상,13,영업중,,,,,760-8093,,,,"경상남도 진주시 진주대로 957, 5,6,7,8층 (강남동)",52709,미래여성산후조리원,2022.7.16 11:26,U,2022.7.18 2:40,,298980.531,187894.695,30,30,659.2,63.03,20,138.2,14.3,8.9,97.9,0,4,4,1,2,2,0,0,0,0
853,산후조리업,01_01_04_P,5380000,PHMB120145380021042100001,2014.6.20,,1,영업/정상,13,영업중,,,,,055-365-0202,,626-050,경상남도 양산시 중부동 687번지 1호,"경상남도 양산시 양산역6길 9, BYC빌딩동 (중부동)",50629,미즈모아 산후조리원,2020.3.27 9:35,U,2020.3.29 2:40,,384225.3709,206124.678,16,17,390.04,29,11.47,,5.16,5.4,23.1,10.7,2,5,,,,,2,2,
854,산후조리업,01_01_04_P,5380000,PHMB120165380021042100001,2016.3.17,,1,영업/정상,13,영업중,,,,,055-912-0700,,,,경상남도 양산시 물금읍 야리로 127,50653,에델산후조리원,2017.6.29 11:40,I,2018.8.31 23:59,,382696.0553,203183.8675,33,33,677.8,56.4,21.9,44.8,,,,,2,5,,,,1,2,2,0
855,산후조리업,01_01_04_P,5350000,PHMB120095350029042100001,2009.11.9,,1,영업/정상,13,영업중,,,,,321-0114,,621-903,경상남도 김해시 내동 1123-4번지,경상남도 김해시 내외중앙로 91 (내동),50948,우리산후조리원,2021.8.5 15:34,U,2021.8.7 2:40,,369878.9498,194806.8519,25,25,464.45,48.39,13.42,0,0,0,0,0,2,3,0,1,1,0,0,0,0
856,산후조리업,01_01_04_P,5350000,PHMB120155350029042100001,2015.7.14,,1,영업/정상,13,영업중,,,,,,,,경상남도 김해시 내동 1124번지 4호,경상남도 김해시 경원로55번길 12 (내동),50948,맘스드림산후조리원,2023.6.12 11:35,U,2023.6.14 2:40,,369840.1955,194811.8369,0,0,0,0,0,0,0,0,0,0,3,13,0,2,1,3,10,5,0
857,산후조리업,01_01_04_P,5350000,PHMB120145350029042100001,2014.2.26,,1,영업/정상,13,영업중,,,,,055-323-2701,,621-280,경상남도 김해시 대청동 62번지 2호,"경상남도 김해시 번화1로80번길 5, 9~10층 (대청동)",50989,더원산후조리원,2015.9.3 10:51,I,2018.8.31 23:59,,363866.2597,189871.094,21,12,431,32.2,16.9,67.1,9.7,,,15.2,3,3,,2,2,,9,9,
858,산후조리업,01_01_04_P,5350000,PHMB120135350029042100001,2013.6.3,,1,영업/정상,13,영업중,,,,,311-0202,,621-831,경상남도 김해시 장유면 대청리 298번지 6호,경상남도 김해시 계동로 203 (대청동),51004,오즈산후조리원,2020.8.5 14:03,U,2020.8.7 2:40,,363910.5756,189376.3587,26,26,345.19,51.45,16.9,49.54,9.78,91.95,91.95,16.2,4,10,,2,2,,0,,
859,산후조리업,01_01_04_P,4010000,PHMB120144010027042100001,2014.11.13,,1,영업/정상,13,영업중,,2021.11.30,2021.12.31,,031-316-8800,,429-834,경기도 시흥시 월곶동 1014번지 5호,경기도 시흥시 월곶해안로 171 (월곶동),14963,라임산후조리원,2022.4.20 10:43,U,2022.4.22 2:40,,176798.2395,431829.6329,20,20,374.7,55.8,9.3,65.8,11.9,2.9,0,12.8,3,8,0,1,1,0,4,3,0
860,산후조리업,01_01_04_P,4090000,PHMB120164090023042100001,2016.8.26,,1,영업/정상,13,영업중,,,,,031-991-9933,,10073,,"경기도 김포시 김포한강1로 247, 703호 (운양동, 김포운양헤리움타운)",10073,(주)결한방산후조리원 김포점,2016.8.26 13:34,I,2018.8.31 23:59,,172121.4662,461367.1932,19,21,350,54,24,92,20,25,67,18,2,3,,1,1,,9,7,2
861,산후조리업,01_01_04_P,4090000,PHMB120184090023042100001,2018.3.23,,1,영업/정상,13,영업중,,,,,031-992-6622,,415-912,경기도 김포시 구래동 6884번지 7호,"경기도 김포시 김포한강8로 396, 7층 (구래동)",415-912,조은미래산후조리원,2018.4.4 18:29,I,2018.8.31 23:59,,166843.7485,460167.0495,18,18,20,64.7,11.6,105.03,13.5,,4,11.7,3,5,0,1,1,0,0,,
862,산후조리업,01_01_04_P,5690000,PHMB120175690045042100001,2017.12.12,,1,영업/정상,13,영업중,,,,,044-905-1004,,,세종특별자치시 어진동 671번지 에비뉴힐,"세종특별자치시 갈매로 351, 에비뉴힐비 3층 3104-1, 3105~3107, 3114~3124호 (어진동)",30121,드이자르 산후조리원,2018.1.25 9:45,I,2018.8.31 23:59,,223417.5849,332712.111,26,26,676.53,72.33,37.13,55.36,15.3,,94.89,14.89,3,10,,1,1,3,7,3,4
863,산후조리업,01_01_04_P,5690000,PHMB120135690045042100001,2013.11.28,,1,영업/정상,13,영업중,,,,,044-716-1004,,339-003,세종특별자치시 나성동 565번지 5호,"세종특별자치시 한누리대로 165, 세종메디피아 8층 (나성동)",30130,르보아산후조리원,2022.12.22 14:57,U,2023.5.26 8:48,,223410.6969,331025.0424,18,18,21.75,60.71,20.61,63.87,14.36,4.69,4.69,9.69,3,6,1,2,2,0,8,8,0
864,산후조리업,01_01_04_P,5690000,PHMB120185690045042100002,2018.7.19,,1,영업/정상,13,영업중,,,,,044-867-4600,,,세종특별자치시 대평동 147번지 1호 세종메디컬센터,"세종특별자치시 한누리대로 2265, 세종메디컬센터 5층 일부호, 6층 일부호 (대평동)",30153,세종제일산후조리원,2018.8.20 18:07,I,2018.8.31 23:59,,224772.385,330159.25,25,25,526.55,72.53,13.36,132.47,58.1,,,,2,9,,3,2,,0,,
865,산후조리업,01_01_04_P,3740000,PHMB120083740033042100001,2008.2.11,,1,영업/정상,13,영업중,,,,,031-235-7337,,442-832,경기도 수원시 팔달구 인계동 959번지 1호,경기도 수원시 팔달구 경수대로 527 (인계동),16481,쉬즈메디산후조리원,2016.12.29 15:53,I,2020.8.5 0:23,,202463.6776,419016.5838,44,47,867.52,105.23,19.75,107.74,31.72,31.03,98.57,26.79,8,15,1,4,4,,7,6,1
866,산후조리업,01_01_04_P,3740000,PHMB120113740033042100001,2011.11.24,,1,영업/정상,13,영업중,,,,,031-253-3011,,442-870,경기도 수원시 팔달구 화서2동 644번지 3호,경기도 수원시 팔달구 덕영대로 691-12 (화서동),16435,수원제일산후조리원,2014.7.11 19:36,I,2020.8.5 0:23,,199105.7859,420349.0143,9,9,98.82,17.13,4.77,,,21.6,21.6,,2,4,,1,1,,5,5,
867,산후조리업,01_01_04_P,4810000,PHMB120184810029042100001,2018.10.29,,1,영업/정상,13,영업중,,,,,061-655-2323,,,전라남도 여수시 웅천동 1728번지 5호,"전라남도 여수시 신월로 114, 예울병원 (웅천동)",59692,예울 산후조리원,2019.12.23 13:27,U,2019.12.25 2:40,,262221.6086,139045.7286,12,12,247.98,49.3,,,,1.9,55.2,8.36,2,5,,,,,,,
868,산후조리업,01_01_04_P,3210000,PHMB120223210034042100001,2022.7.1,,1,영업/정상,13,영업중,,,,,02-592-0020,,,서울특별시 서초구 방배동 783-24 왕실빌딩,"서울특별시 서초구 동작대로 172, 왕실빌딩 3층 50호 (방배동)",6559,sk산후조리원,2022.7.20 14:46,I,2022.7.22 0:22,,198448.6806,443312.729,14,14,349,37,4.5,19,11.3,4.5,4,13.8,4,12,0,2,1,0,0,0,0
869,산후조리업,01_01_04_P,6510000,PHMB120226510096042100001,2022.8.12,,1,영업/정상,13,영업중,,,,,647488855,,,제주특별자치도 제주시 연동 1409 3층,"제주특별자치도 제주시 과원로 70, 3층 (연동)",63142,로열프린세스산후조리원,2022.8.12 18:15,I,2022.8.14 0:22,,152618.5392,-2193.377735,21,21,350,53.7,25.8,51.2,14.9,57.6,36.3,18.7,5,3,0,1,2,0,3,3,0
870,산후조리업,01_01_04_P,3830000,PHMB120223830263042100001,2022.8.1,,1,영업/정상,13,영업중,,,,,031-360-3980,,,경기도 안양시 동안구 호계동 972-9 양우 내안애 팰리스,"경기도 안양시 동안구 흥안대로94번길 68, 3층 (호계동, 양우 내안애 팰리스)",14120,제이에스 산후조리원,2022.8.30 10:52,U,2022.9.1 2:40,,196123.4104,429385.5378,25,30,665.8,111.5,0,87.6,33.2,29.5,151.1,0,3,3,1,1,0,0,4,1,3
871,산후조리업,01_01_04_P,3620000,PHMB120143620020042100001,2014.4.28,,1,영업/정상,13,영업중,,,,,062-602-9200,,500-200,광주광역시 북구 양산동 246번지 16호 5.6.7층,"광주광역시 북구 하서로 395, 5.6.7층 (양산동, 빛고을여성병원)",61074,(주)빛고을산후조리원,2021.7.14 17:06,U,2021.7.16 2:40,,188418.6898,190137.4521,53,53,1551.77,151.96,65.04,0,0,0,0,0,7,25,0,0,0,1,0,7,2
872,산후조리업,01_01_04_P,4050000,PHMB120134050149042100001,2013.7.2,,1,영업/정상,13,영업중,,,,,031-263-8855,,448-140,경기도 용인시 수지구 성복동 598번지 8호,경기도 용인시 수지구 성복2로 348 (성복동),16804,디엘린산후조리원,2015.6.29 16:07,I,2018.8.31 23:59,,204438.9878,424213.8572,19,19,602.8,48.9,78.5,44.12,22.14,,33.7,33.2,3,1,,2,1,1,4,3,1
873,산후조리업,01_01_04_P,5710000,PHMB120134360079042100001,2013.12.30,,1,영업/정상,13,영업중,,,,,239-0221,,,충청북도 청주시 흥덕구 가경동 1453-1 해피맘산부인과,"충청북도 청주시 흥덕구 풍산로 36, 해피맘산부인과 4,5,6(일부)층 (가경동)",28399,해피맘산후조리원,2021.11.26 9:55,U,2021.11.28 2:40,,238793.934,347342.5614,23,23,334.44,49.79,0,72.27,7.62,0,32.01,14.96,3,12,1,3,3,0,3,3,0
874,산후조리업,01_01_04_P,5710000,PHMB120064360079042100003,2006.12.14,,1,영업/정상,13,영업중,,,,,043-237-2201,,,충청북도 청주시 흥덕구 가경동 1556번지 5~6층,"충청북도 청주시 흥덕구 가경로 16-2, 5~6층 (가경동)",28409,청주미즈맘산후조리원,2020.12.30 11:44,U,2021.1.1 2:40,,239638.6142,346321.148,20,20,20,40,4.4,36,7.62,2.56,2.56,15,4,10,1,4,,4,11,2,
875,산후조리업,01_01_04_P,5710000,PHMB120094410018042100002,2009.9.11,,1,영업/정상,13,영업중,,,,,043-241-3030,,,충청북도 청주시 청원구 오창읍 양청리 819번지 4호 오창프라자,"충청북도 청주시 청원구 오창읍 중심상업로 17, 오창프라자 7층",28120,미즈산후조리원,2021.5.25 11:29,U,2021.5.27 2:40,,238281.8587,356880.5546,8,8,95.1,22.3,10.6,21.3,11,,20,7.26,2,9,,1,1,,7,7,
876,산후조리업,01_01_04_P,5710000,PHMB120134360069042100001,2013.6.5,,1,영업/정상,13,영업중,,,,,043-291-3582,,360-101,충청북도 청주시 상당구 용암1동 2658번지,충청북도 청주시 상당구 용암북로160번길 34-7 (용암동),28762,삼성산후조리원원,2014.7.14 18:01,I,2018.8.31 23:59,,246039.1275,346779.919,28,28,553,56,15,42,4.75,,103,15.33,4,12,,3,3,1,2,2,
877,산후조리업,01_01_04_P,5710000,PHMB120084360069042100002,2008.3.13,,1,영업/정상,13,영업중,,,,,043-218-3575,,,충청북도 청주시 청원구 주중동 1063번지,"충청북도 청주시 청원구 충청대로 179 (주중동, 청주다나여성병원)",28325,다나산후조리원,2021.5.25 13:30,U,2021.5.27 2:40,,244247.6428,352429.6008,35,35,696.34,81.47,21.9,0,27.36,,1.97,17.84,3,10,0,1,1,0,9,789,
878,산후조리업,01_01_04_P,5710000,PHMB120144360079042100001,2014.3.31,,1,영업/정상,13,영업중,,2016.1.20,2016.1.29,,234-6201,,,"충청북도 청주시 서원구 신화로 50 (성화동, 4-5층)","충청북도 청주시 서원구 신화로 50 (성화동, 4-5층)",28637,하안유산후조리원,2018.1.30 17:40,I,2018.8.31 23:59,,240674.0453,346536.6287,38,38,17.1,60,,47.1,10.3,3.4,3.4,9.6,4,18,1,3,3,1,6,4,2
879,산후조리업,01_01_04_P,3780000,PHMB120063780062042100001,2006.12.8,,1,영업/정상,13,영업중,,,,,723-7266,,,,경기도 성남시 수정구 수정로73번길 16-27 (태평동),13311,곽생로여성병원부설산후조리원,2019.12.28 12:52,U,2019.12.31 2:40,,211353.0442,437621.7511,55,55,1266.73,106.14,35.24,132,6.4,,,,8,28,1,5,2,1,8,7,1
880,산후조리업,01_01_04_P,3780000,PHMB120073780064042100001,2007.1.23,,1,영업/정상,13,영업중,,,,,780-2999,,463-070,"경기도 성남시 분당구 야탑동 351-1,2",경기도 성남시 분당구 야탑로65번길 16 (야탑동),13497,분당차병원 산후조리원,2015.1.26 11:28,I,2018.8.31 23:59,,211116.0084,434347.5983,24,27,448.63,46.6,11.74,,11.3,,19.5,5.9,11,,,,1,4,5,5,
881,산후조리업,01_01_04_P,3930000,PHMB120073930162042100002,2007.12.21,,1,영업/정상,13,영업중,,,,,,,426-809,경기도 안산시 상록구 본오2동 871번지 15호 (2층),경기도 안산시 상록구 샘골로 112 (본오동),15541,미즈피아산후조리원,2020.4.2 11:19,U,2020.4.4 2:40,,187803.0072,421318.8914,10,10,17.2,25,10,,,,6,18,2,8,,,2,,,2,
882,산후조리업,01_01_04_P,3930000,PHMB120133930154042100001,2013.10.7,,1,영업/정상,13,영업중,,,,,031-485-5544,,425-906,경기도 안산시 단원구 고잔동 775번지 2호 광장타워 601호,"경기도 안산시 단원구 광덕1로 195, 6층 601호 (고잔동, 광장타워)",15477,라움산후조리원,2023.1.18 16:22,U,2023.1.20 2:40,,185003.0091,422921.6245,18,18,317.24,35,11,26,7,77.76,3,7,5,12,0,1,1,0,0,0,0
883,산후조리업,01_01_04_P,3780000,PHMB120113780064042100001,2011.4.22,,1,영업/정상,13,영업중,,,,,031-706-9988,,,경기도 성남시 분당구 율동 134번지 1호 율동갤러리,"경기도 성남시 분당구 새마을로 231, 율동갤러리 (율동)",13574,산후조리원 라크렘,2021.9.24 17:00,U,2021.9.26 2:40,,213606.9333,431707.5252,19,21,408.02,57.72,10.6,53.24,23.91,0,22.3,8.85,10,0,0,3,3,5,6,5,1
884,산후조리업,01_01_04_P,3980000,PHMB120083980021042100001,2008.1.16,,1,영업/정상,13,영업중,,,,,564-3535,,471-020,경기도 구리시 교문동 282번지 1호 중앙하이츠  B동 401호,"경기도 구리시 아차산로 499, B동 401호 (교문동,중앙하이츠)",,마더러브 산후조리원,2021.3.29 13:27,U,2021.3.31 2:40,,211414.9562,455271.7013,9,9,18,36,18,10,20,,,13.7,2,5,,2,1,2,0,,
885,산후조리업,01_01_04_P,3780000,PHMB120063780064042100002,2006.10.17,,1,영업/정상,13,영업중,,,,,031-701-3535,,,경기도 성남시 분당구 서현동 93번지 현대카스올림픽 골프파크 307-309,"경기도 성남시 분당구 중앙공원로40번길 4, 307-309호 (서현동, 현대카스올림픽골프파크)",13589,(주)디아망산후조리원 분당서현점,2020.4.3 20:11,U,2020.4.5 2:40,,211395.0171,430925.7461,17,17,252.65,27.68,,35.15,12.01,,44.65,6.27,4,4,,3,1,,,,
886,산후조리업,01_01_04_P,3780000,PHMB120033780064042100001,2003.3.26,,1,영업/정상,13,영업중,,,,,031-703-5550,,463-070,경기도 성남시 분당구 야탑동 537-6 삼부빌딩 201-2호,경기도 성남시 분당구 야탑로 32 (야탑동),13522,엄마손 산후조리원,2015.1.26 11:33,I,2018.8.31 23:59,,210785.6442,434078.469,13,13,6.5,30,11.9,18.2,7.4,7.4,7.4,,,,,,,,,,
887,산후조리업,01_01_04_P,3780000,PHMB120123780064042100003,2012.12.24,,1,영업/정상,13,영업중,,,,,031-717-7787,,463-867,경기도 성남시 분당구 정자동 174번지  분당 더샾 스타파크 상가동 지상 2층,"경기도 성남시 분당구 정자일로 121 (정자동, 분당더샾스타파크 상가동 지상2층)",13560,디에르산후조리원,2023.1.13 15:33,U,2023.5.26 8:48,,209246.1876,428774.7995,20,20,420,48,12,120,60,0,7.5,13,4,3,0,2,2,0,0,0,0
888,산후조리업,01_01_04_P,3990000,PHMB120113990029042100001,2011.3.29,,1,영업/정상,13,영업중,,,,,,,472-140,경기도 남양주시 평내동 579번지 2호 403호~408호,"경기도 남양주시 경춘로1256번길 9 (평내동,403호~408호)",,조은산후조리원,2023.1.5 22:43,U,2023.1.7 2:40,,220704.2489,460440.7642,20,20,255.12,48.26,10.16,84.31,2.37,0,50.4,53.93,3,8,0,2,1,0,4,4,0
889,산후조리업,01_01_04_P,3780000,PHMB120063780064042100008,2006.7.1,,1,영업/정상,13,영업중,,,,,031-781-3631,,,,경기도 성남시 분당구 서현로180번길 29 (서현동),13590,분당제일 산후조리원,2016.4.29 18:23,I,2018.8.31 23:59,,210698.1958,431645.7806,19,19,369.56,40.09,7.93,0,13.95,,2.7,7.66,8,6,,0,3,5,6,5,1
890,산후조리업,01_01_04_P,3780000,PHMB120133780063042100001,2013.1.8,,1,영업/정상,13,영업중,,,,,,,,"경기도 성남시 중원구 은행동 1932-6 현대아파트상가 301, 304, 305, 401호","경기도 성남시 중원구 자혜로17번길 16, 3, 4층 301, 304, 305, 401 호 (은행동, 현대아파트)",13162,맘스파크산후조리원,2023.1.13 17:52,U,2023.1.15 2:40,,214392.5414,438875.8518,21,21,568.36,68.8,11,73.5,11.7,84,7.6,15.2,3,2,0,2,2,0,4,4,0
891,산후조리업,01_01_04_P,3780000,PHMB120123780064042100002,2012.7.12,,1,영업/정상,13,영업중,,2021.5.8,2021.12.31,,031-702-0077,,,경기도 성남시 분당구 운중동 944번지 마크로시티 8층~9층,"경기도 성남시 분당구 운중로 128, 8,9층 (운중동, 마크로시티)",13466,(주)마벨르산후조리원 판교점,2022.11.14 14:36,U,2022.11.16 2:40,,206780.4062,432139.1804,16,16,23.53,90.95,12.49,11.59,8.5,4.68,0,9.8,4,3,0,1,0,0,2,2,0
892,산후조리업,01_01_04_P,3780000,PHMB120163780062042100001,2016.6.29,,1,영업/정상,13,영업중,,,,,031-756-0006,,,경기도 성남시 수정구 창곡동 546번지 2호,경기도 성남시 수정구 위례광장로 41 (창곡동),13647,위례포르투나산후조리원,2021.12.15 11:29,U,2021.12.17 2:40,,212326.6911,440662.9894,16,16,391.63,36.93,0,20.36,10.3,0,2.75,4.21,3,3,0,1,2,1,4,4,0
893,산후조리업,01_01_04_P,3980000,PHMB120073980021042100001,2007.3.25,,1,영업/정상,13,영업중,,,,,031-567-0012,,471-030,경기도 구리시 수택동 424번지 14호 현주아이프랜드 상가 6층,"경기도 구리시 검배로 36 (수택동,현주아이프랜드 상가 6층)",,베베포레스트산후조리원(주),2022.1.4 11:29,U,2022.1.6 2:40,,212557.7797,455098.579,16,16,133.26,27.3,0,35.66,7.44,0,35.64,4.84,4,4,0,2,1,0,0,0,0
894,산후조리업,01_01_04_P,3780000,PHMB120063780062042100002,2006.12.8,,1,영업/정상,13,영업중,,,,,721-5700,,461-822,경기도 성남시 수정구 태평동 3406번지,경기도 성남시 수정구 수정로171번길 7-1 (태평동),13292,(주)오르빛산후조리원,2023.7.28 13:22,U,2023.7.30 2:40,,212176.7392,437948.2125,14,14,0,25,0,0,0,0,0,0,3,3,0,1,1,0,7,7,0
895,산후조리업,01_01_04_P,3780000,PHMB120143780064042100003,2014.10.15,,1,영업/정상,13,영업중,,2019.3.27,2019.5.31,,031-1811-8968,,,,"경기도 성남시 분당구 구미로9번길 7, 분당팬텀광장 (구미동)",13637,(주)배냇산후조리원,2020.4.22 11:45,U,2020.4.24 2:40,,209683.6604,426357.6222,29,29,736.5,59.4,24.7,33.5,31.1,,160.9,10.9,3,6,,1,1,,4,4,
896,산후조리업,01_01_04_P,3780000,PHMB120153780064042100002,2015.3.19,,1,영업/정상,13,영업중,,,,,031-703-2015,,,,"경기도 성남시 분당구 서현로180번길 26, 3층 (서현동)",13590,주)세인트 포시즌 산후조리원,2015.3.20 8:52,I,2018.8.31 23:59,,210669.1469,431695.7862,21,21,396.86,54.06,23.1,18.5,4.86,,75.6,20.4,5,10,1,1,1,,3,3,
897,산후조리업,01_01_04_P,3780000,PHMB120153780064042100001,2015.1.9,,1,영업/정상,13,영업중,,,,,031-8016-1173,,,,"경기도 성남시 분당구 판교역로192번길 14-2, 골드타워 7층 (삼평동)",13524,리움 산후조리원,2020.12.1 15:42,U,2020.12.3 2:40,,209850.9737,432829.6725,28,28,749.8,74.8,,23.5,18.7,,58.3,17.8,5,7,,2,1,1,,,
898,산후조리업,01_01_04_P,3780000,PHMB120143780064042100002,2014.5.20,,1,영업/정상,13,영업중,,,,,031-702-3377,,,,경기도 성남시 분당구 새마을로165번길 34 (율동),13574,플로라산후조리원,2014.6.10 16:09,I,2018.8.31 23:59,,213187.3747,431582.7718,10,10,230.22,56,5.1,40,12,7.2,2.38,10.8,4,3,,1,1,,3,2,1
899,산후조리업,01_01_04_P,3780000,PHMB120163780064042100001,2016.7.11,,1,영업/정상,13,영업중,,,,,603-9921,,,경기도 성남시 분당구 서현동 254번지 5호 서현프라자 401호,"경기도 성남시 분당구 서현로180번길 13, 4층 (서현동)",13590,포스피탈 림 산후조리원,2022.10.25 14:46,U,2022.10.27 2:40,,210810.4177,431765.2661,22,22,308,63,12,56,8,13,4,30,3,3,0,1,1,1,11,8,3
900,산후조리업,01_01_04_P,3780000,PHMB120163780062042100002,2016.8.1,,1,영업/정상,13,영업중,,,,,031-757-6161,,,경기도 성남시 수정구 수진동 3996번지,"경기도 성남시 수정구 성남대로 1202 (수진동, 유천빌딩)",13320,(주)드 이자르 산후조리원,2016.9.8 18:04,I,2018.8.31 23:59,,211322.0674,437221.9964,23,23,561.68,63.7,24.82,19.56,13.43,,9.58,17.8,4,3,,1,,,7,6,1
901,산후조리업,01_01_04_P,3930000,PHMB120063930154042100002,2006.12.11,,1,영업/정상,13,영업중,,,,,,,425-906,경기도 안산시단원구 고잔동 774번지 1호 5~6층,"경기도 안산시 단원구 광덕동로 53 (고잔동,5~6층)",,주식회사 한빛여성병원산후조리원,2023.1.26 11:54,U,2023.1.28 2:40,,185062.0928,423030.2549,20,20,335,49.5,36.3,0,0,0,72.4,0,3,13,0,0,0,0,6,6,1
902,산후조리업,01_01_04_P,3990000,PHMB120173990310042100001,2017.3.21,,1,영업/정상,13,영업중,,,,,031-568-7373,,,,"경기도 남양주시 별내3로 320, 6-7층 (별내동, 센트럴프라자)",12097,마리라헨 산후조리원,2017.3.23 9:07,I,2018.8.31 23:59,,210324.9363,462632.0402,16,16,332.8,30.7,5.9,51.4,7.9,,,10.5,3,5,,,,,9,7,2
903,산후조리업,01_01_04_P,3990000,PHMB120153990029042100001,2015.1.22,,1,영업/정상,13,영업중,,,,,031-838-1004,,472-501,경기도 남양주시 별내동 1008번지 2호 제이에스타워4층,"경기도 남양주시 별내2로 74 (별내동, 제이에스타워4층)",12113,더 퍼스트 산후조리원,2020.7.30 18:16,U,2020.8.1 2:40,,211009.0862,460510.855,20,20,536.26,44.94,9.88,34.41,25.42,1.65,5.06,24.29,3,3,,2,1,,0,,
904,산후조리업,01_01_04_P,3930000,PHMB120083930154042100001,2008.9.23,,1,영업/정상,13,영업중,,,,,031-411-3552,,425-856,"경기도 안산시단원구 초지동 742번지 9호 메가쇼핑1, 5층 전체","경기도 안산시 단원구 원포공원2로 35 (초지동,메가쇼핑1, 5층 전체)",,맘편한산후조리원,2023.1.18 16:05,U,2023.1.20 2:40,,183400.7,422211.87,24,24,388.47,46.24,19,41.17,23.36,3.5,4.8,10.63,4,14,0,3,2,2,5,5,1
905,산후조리업,01_01_04_P,3780000,PHMB120083780062042100002,2008.5.19,,1,영업/정상,13,영업중,,,,,723-7776,,461-806,경기도 성남시 수정구 수진2동 2965번지,경기도 성남시 수정구 수정로 80 (수진동),,신데렐라 산후조리원 주식회사,2018.3.27 16:03,I,2018.8.31 23:59,,211395.24,437540.9841,18,18,,36.2,,,,,,,10,5,,2,2,,16,2,
906,산후조리업,01_01_04_P,3990000,PHMB120063990029042100002,2006.12.27,,1,영업/정상,13,영업중,,2010.5.27,2010.9.30,,,,472-120,경기도 남양주시 호평동 14번지 메디피아ㅣ 빌딩 4층(2층일부),"경기도 남양주시 경춘로 1511 (호평동,메디피아ㅣ 빌딩 4층(2층일부))",12141,메디피아산후조리원,2010.6.8 9:52,I,2018.8.31 23:59,,222833.8119,461499.5578,10,7,,11.2,,,,,,,2,7,,,,1,4,4,
907,산후조리업,01_01_04_P,4010000,PHMB120074010027042100001,2007.2.16,,1,영업/정상,13,영업중,,,,,031-431-1134,,,경기도 시흥시 정왕동 1861번지 8호 트윈프라자 B동 4층 406호,"경기도 시흥시 정왕대로 78, 4층 406호 (정왕동, 트윈프라자)",15040,예진산후조리원,2016.12.5 14:00,I,2018.8.31 23:59,,175566.8627,427950.0889,20,20,365.26,35.49,8.03,60.31,3.76,,0,9.36,3,10,,1,1,1,4,4,
908,산후조리업,01_01_04_P,3930000,PHMB120073930154042100002,2007.11.28,,1,영업/정상,13,영업중,,,,,412-3000,,425-868,"경기도 안산시단원구 고잔동 529번지 3호 5층전체, 7층일부","경기도 안산시 단원구 고잔로 58-10 (고잔동,5층전체, 7층일부)",,세창의료재단우성여성병원산후조리원,2023.1.18 14:24,U,2023.1.20 2:40,,185037.467,424053.6248,24,24,393,54.6,33,0,0,0,0,0,4,9,0,0,0,0,7,7,1
